,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,C14Cor,bp,optional
99,99,Tigrana,India,Haryana,28.862,76.137,Google Earth,3981,36,Yes,Seed: Hordeum,OxA-29982,Liu et al. 2017,,Direct date on barley,Yes,NA,4462,TRUE
100,100,Tirumukkudal Narasipur,India,Karnataka,12.2167,76.9167,AK2,3755,105,null,Charcoal,TF-412,"PR2, FBK, IAR65-66",,,,3649,4126,TRUE
101,101,Togolok-Depe,Turkmenistan,Ahal,38.12,62,Brunet 1998,7320,100,,Charcoal,Bln-719,Brunet 1998,Neolithic,,Yes,NA,8130,TRUE
102,102,Tol-e Bashi,Iran,Fars,30.04,52.69,Khanipour et al. 2021,7283,43,,,AA56351,Khanipour et al. 2021,"Unite: Loc. 61, Level V",,,NA,8101,TRUE
103,103,Tol-e Nurabad,Iran,Fars,30.116667,51.5,M,6977,56,Yes,Charcoal,WK-13990,M,,,,6977,7807,TRUE
164,9999,Ujrat el-Mehed 1,,Egypt,28.21,34,,8220,80,,,Pta-2703,,,,,,,
187,9999,Uvda Valley,,Israel,29.9397,34.9404,,6560,90,,,,,,,,,,
104,104,Velpumudugu,India,Andhra Pradesh,15.050817,77.206091,Google Earth,3029,35,Yes,Seed: Macrotyloma uniflorum,R-28680/24,"FH, FBK",,,,2943,3232,TRUE
214,9999,Wadi Faynan 16,,Jordan,30.6256,35.4453,,10220,60,,charcoal,Beta-120210,,,,,,,
135,9999,Wadi Shab 1,,Oman,22.9333,57.5333,,5127,80,,,GX-17881,,,,,,,
162,9999,Wadi Shumlya,,Yemen,16,50,,5870,45,,,OS-16933,,,,,,,
138,9999,Wadi Wutayya,,Oman,23.6033,58.5017,,7250,85,,,Hv-12963,,,,,,,
105,105,Yanik Tepe,Iran,East Azerbaijan,37.933333,45.9,M,7035,69,null,Charcoal,P-1244,M,,,,7035,7860,TRUE
185,9999,Yarim Tepe I,,Iraq,36.7229,56.8184,,7150,90,,,LE-1086,,,,,,,
207,9999,Yiftahel,,Israel,32.6937,35.3114,,8870,90,,,Pta-4242,,,,,,,
